names,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,04 DG-IMN Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,08 CNU-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,15 HY Gnrh1 Glut,16 HY MM Glut,17 MH-LH Glut,18 TH Glut,19 MB Glut,20 MB GABA,21 MB Dopa,22 MB-HB Sero,23 P Glut,24 MY Glut,25 Pineal Glut,26 P GABA,27 MY GABA,28 CB GABA,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
Cdh4,-0.061632514,-2.0757267,3.8947034,-3.492267,0.5067171,0.12883824,0.67106646,2.0589688,0.7569574,0.6932135,2.2623382,1.3233178,2.098338,1.8426939,1.0750892,-1.0008141,-1.8472685,0.34735218,1.3586452,1.5261351,1.2559348,0.653125,0.8905506,0.7717392,-2.1770697,0.6861088,0.9754429,-1.2898179,-0.15127878,-0.13419706,-2.2799888,-2.8267946,-1.5586306,-4.090228
Cdh6,1.1573832,0.43288648,0.4115487,-6.5829377,-1.3188145,-1.0786515,-3.0384092,-1.7131152,-0.56561947,0.017595181,-1.2632958,-0.3298058,-0.44782004,-0.22429617,-1.3357815,1.3214372,-1.2495667,1.5289184,0.48698902,0.12326419,-0.64987546,-0.7755321,0.06908158,0.50213456,-4.0263014,-0.62384725,0.4212646,-0.55723417,-5.621519,-2.2121933,0.5005527,-1.0150579,-1.9073565,-4.920409
Cdh9,0.47312465,1.3357402,-3.5882668,3.9256105,-1.9829882,-0.27593368,2.0681431,0.47928718,1.3489481,-1.2046217,0.4974373,-0.39433157,0.57494533,0.5678023,-1.8103201,-1.1474645,-1.3473256,-4.0839086,0.89351946,-0.10508872,0.35363385,-0.007953663,0.4043133,0.5709273,-5.5336514,0.63675374,-0.2412165,-5.4078455,-6.567375,-4.7197776,-4.822799,-5.625058,-4.7642803,-4.2814584
Chat,-3.7183497,-4.180055,-6.3859525,-4.9217844,-5.142071,4.0086007,-4.2846513,4.3902225,0.4675056,2.4329157,-1.300687,0.3712642,0.22756894,-0.1777774,-22.194893,-4.9488645,6.6726494,-3.655287,0.6863248,-1.8168454,-1.6725501,-3.4405181,1.6892952,3.3310635,-0.5947806,-0.98327875,1.472565,-6.290224,-4.6659503,-3.441159,-3.4114196,-22.19523,-3.8557267,-3.4725335
Chodl,-3.2893157,-5.0467343,-3.5483024,-5.041124,-0.9607517,-2.162089,-2.3697412,5.020205,-2.2099922,1.5557729,3.5099273,3.6139622,2.186058,3.3808117,4.258256,1.5164914,-1.5653892,-4.593603,1.2224866,-0.7765518,-1.8926289,2.1366258,1.3437449,2.4173949,-2.0551744,0.020973993,0.46167976,-7.5823565,-5.865669,-2.9938395,-2.3883455,1.6376929,-3.6287806,-3.6045985
Chrm2,0.8422749,-0.21000096,-3.4270182,-7.193444,2.7341616,-3.7375426,-0.6147268,2.7543552,-2.339526,0.8940061,0.06572561,1.1940753,0.25421622,0.75995684,-5.52133,-5.091947,-0.5306064,1.1308758,1.8476461,2.0962222,-0.3748384,1.184326,1.7989489,1.6409721,-3.508737,1.5278265,1.8858787,-1.7511975,-1.7812104,-5.0154767,-3.5579803,-2.672607,-5.043874,-4.82449
Cldn5,-5.7186494,-5.6609154,-3.979281,-4.733972,-4.753494,-5.774151,-5.746421,-5.8360195,-5.077682,-3.7142134,-5.709552,-5.6425266,-5.75125,-6.3068857,-25.988451,-6.6036816,-6.737968,-5.9380555,-5.741773,-5.8076916,-4.63124,-4.011654,-4.887687,-5.368652,-5.9153776,-4.4032383,-6.224767,-7.160448,-4.9839473,-2.0270054,-3.2115746,3.207041,10.145193,-1.9496467
Clmn,-2.41693,-2.8315198,-2.325447,-0.8856636,-5.281367,-3.1221206,-3.4202695,-2.534467,-2.645127,0.61749333,0.04044645,-0.7854272,0.021589564,-0.76432854,-5.3472495,-0.5686539,-2.9464195,2.4038713,-1.0393524,-1.6417311,-1.407974,0.122736156,-1.179102,-1.4402814,-1.2683998,-1.3867136,-2.0499768,-5.3273053,-3.920883,2.264229,3.73248,-3.8775861,-2.6648455,-3.845422
Cntn6,-0.7082855,-0.13004552,-1.851119,-4.7937374,-2.491132,0.8347544,0.86678255,0.69204295,-0.70296973,0.22899085,0.42881164,0.97841156,0.812115,1.124729,-3.5631068,2.3561313,-1.624179,1.8697631,1.563935,1.2716575,0.06454449,0.9178285,1.1212999,1.1253833,-3.6713858,0.9962954,1.1065847,1.7291759,3.3549743,-4.9659743,-0.9523472,-5.904815,-5.3413553,-5.0241456
Cntnap4,-1.5665364,1.3971874,-0.24972267,-3.88524,2.02755,-0.20708188,2.2075388,2.1309652,-3.2511811,0.119449034,1.2825501,1.1841134,0.63118786,1.5344541,-3.4497168,-1.3394067,1.6665787,0.2416459,1.657576,1.9440514,2.8043718,1.5197498,2.0250013,1.0547758,-3.6612523,1.8921379,1.6095338,-0.15686417,2.5317242,-4.638861,-4.1031394,-3.456463,-4.927383,-4.2665844
Cntnap5b,0.3233742,-0.32497153,-1.5310152,1.8782119,-1.534917,-0.91450465,-0.53027284,0.862096,1.009896,1.1474229,1.4529799,0.92815036,2.1586926,2.003355,-4.109578,1.2183491,-0.20486821,1.6696316,2.6552584,2.220939,0.6774555,2.0998836,1.8030285,1.6974919,-3.852315,1.9700279,1.0032216,-3.7281425,-5.667929,-4.520012,-2.597816,-6.052532,-4.702928,-4.4203887
Cobll1,-5.180732,-0.9127544,1.3874104,-2.3079722,-3.2792,-2.7974417,-5.6594887,-4.0799384,-5.561805,-1.0605325,-1.7866397,-2.944416,-2.4228432,-3.1561294,-1.7016379,0.25617945,-2.6048706,-2.2236722,-2.5832045,-3.9940457,-4.13648,-2.248419,-2.2980306,-3.703238,-4.407716,-4.360186,-4.21343,-5.9120874,-3.2501397,-1.0345336,4.159502,0.9568248,4.040393,-3.001831
Col19a1,1.0665369,-0.39683002,-4.286759,-2.5258257,-1.957474,2.149166,3.4524236,1.014018,-0.8037,-3.149431,-1.8379408,-1.3498949,-0.85080487,-1.245561,-2.3480613,2.2683914,-2.4529257,-3.09379,-1.5394278,-0.26385874,-3.552172,0.214683,-1.0805899,-0.7306198,-3.0691993,0.14978616,0.15819116,-1.9105942,1.4894992,-4.845441,-4.5061603,-6.0671268,-4.588636,-3.955364
Col1a1,-3.993558,-6.449844,-2.5142581,-4.1744223,-1.6205488,-5.4815955,-6.7227397,-5.9514575,-1.904714,-0.5130061,-2.648298,-4.828035,-2.3514953,-4.5004354,-23.72061,-6.199118,-3.8698545,-1.6310289,-4.88788,-5.716083,-6.491159,-6.010234,-5.441674,-5.328119,-0.88329524,-5.170977,-6.085656,-0.6250422,-4.471246,4.330476,-3.6871438,-23.720947,3.6382236,-2.141648
Col6a1,1.1973062,1.9349338,0.11808176,-2.1246176,1.5212145,-3.1482942,-1.7505335,-1.296233,1.9186463,-0.95317847,-0.0411824,-1.4821367,-0.02466327,-2.1611414,-1.8411431,-5.4090886,-5.8960385,-4.805195,-2.4016526,-2.1923685,-3.4744322,-3.5155625,-0.61675656,-1.2457846,-26.082598,-1.3784313,-0.6520606,-1.5206639,-4.9638014,-2.9514964,-3.6637647,-1.44815,-0.22350807,-2.1736321
Cort,-1.9063126,-1.7856615,-1.4572749,-2.5595043,1.5776219,2.6288147,5.90676,2.6775365,-2.6472096,-3.4601345,-3.001598,-4.6334267,-3.3724432,-4.639503,-2.9823499,-5.104682,-5.3331084,-5.067978,-3.4644399,-4.287695,-3.54621,-3.0330994,-4.1101155,-4.1180367,-2.508736,-4.4602933,-4.5697126,-5.350461,-5.3248644,-3.3665977,-3.8348813,-2.9497495,-3.170687,-2.2968652
